n,a,b
0,0.000008,0.000003
100,0.004721,0.002347
200,0.020280,0.010473
300,0.068138,0.034567
400,0.104816,0.050806
500,0.160217,0.080356
600,0.229155,0.102641
700,0.314633,0.139835
800,0.379905,0.193792
900,0.534807,0.270808
1000,0.738866,0.320284
1100,0.808754,0.384346
1200,0.916883,0.526541
1300,1.195618,0.553513
1400,1.372527,0.692075
1500,1.487743,0.730650
1600,1.666779,0.868628
1700,2.006181,1.054973
1800,2.205944,1.070904
1900,2.473197,1.206975
2000,2.730999,1.410314
2100,2.986290,1.539851
2200,3.041984,1.517472
2300,3.594919,1.729065
2400,3.714568,2.201589
2500,4.135081,2.174920
2600,4.660410,2.267843
2700,4.832911,2.710661
2800,5.627706,2.577053
2900,5.738699,2.654184
3000,6.360218,3.775185
3100,7.054000,3.378661
3200,6.955884,3.403209
3300,7.302352,3.791738
3400,8.018484,3.935013
3500,8.069441,4.093264
3600,8.874433,4.534208
3700,9.386539,4.835772
3800,10.124006,4.794054
3900,10.488794,5.125754
4000,11.072007,5.286762
4100,11.484102,5.529580
4200,11.463575,6.012941
4300,12.350035,6.505005
4400,12.900119,6.230079
4500,13.467304,7.214830
4600,14.083889,7.065236
4700,14.598455,7.661982
4800,15.350344,8.135465
4900,16.234845,8.214087
5000,16.895798,8.187693
